idx,Date,Time,Temp,pH,DO,EC,,,
93,12/9/2023,10:53:44,23.47,8.19,13.527,1855,,,
94,12/9/2023,10:48:44,23.47,8.22,11.819,1855,,,
95,12/9/2023,10:43:44,23.42,8.21,12.294,1855,,,
96,12/9/2023,10:38:44,23.36,8.11,12.761,1855,,,
97,12/9/2023,10:33:45,23.47,8.17,12.432,1855,,,
98,12/9/2023,10:28:44,23.42,8.15,11.586,1863,,,
99,12/9/2023,10:23:44,23.37,8.04,11.849,1855,,,
100,12/9/2023,10:18:44,23.52,8.06,11.498,1855,,,
101,12/9/2023,10:13:44,23.27,8.07,11.791,1855,,,
102,12/9/2023,10:08:44,23.3,8.09,11.31,1855,,,
103,12/9/2023,10:03:44,23.28,8.06,12.462,1855,,,
104,12/9/2023,9:58:44,23.27,7.98,11.112,1855,,,
105,12/9/2023,9:53:45,23.44,8.03,11.09,1863,,,
106,12/9/2023,9:48:45,23.33,7.99,10.251,1863,,,
107,12/9/2023,9:43:44,23.43,7.97,11.061,1855,,,
108,12/9/2023,9:38:45,23.33,7.96,11.236,1855,,,
109,12/9/2023,9:33:44,23.36,7.98,10.499,1855,,,
110,12/9/2023,9:28:44,23.3,7.98,10.506,1855,,,
111,12/9/2023,9:23:44,23.46,7.99,10.251,1846,,,
112,12/9/2023,9:18:44,23.34,8.02,9.149,1837,,,
113,12/9/2023,9:13:44,23.32,7.93,10.098,1846,,,
114,12/9/2023,9:08:44,22.53,7.92,10.195,1846,,,
115,12/9/2023,9:03:44,23.11,7.87,9.587,1846,,,
116,12/9/2023,8:58:44,23.25,7.86,9.558,1852,,,
117,12/9/2023,8:53:45,23.11,7.82,8.537,1846,,,
118,12/9/2023,8:48:44,23,7.86,8.851,1846,,,
119,12/9/2023,8:43:44,23.09,7.85,8.493,1846,,,
120,12/9/2023,8:38:44,23.1,7.82,9.091,1852,,,
121,12/9/2023,8:33:44,23.11,7.82,8.675,1837,,,
122,12/9/2023,8:18:44,23.06,7.77,7.61,1837,,,
123,12/9/2023,8:13:44,23.13,7.76,7.843,1837,,,
124,12/9/2023,8:08:44,22.7,7.8,8.392,1837,,,
125,12/9/2023,8:03:45,23.16,7.74,7.639,1834,,,
126,12/9/2023,7:58:45,23.08,7.75,7.887,1828,,,
127,12/9/2023,7:53:45,23.01,7.69,7.238,1828,,,
128,12/9/2023,7:48:45,22.97,7.72,6.953,1828,,,
129,12/9/2023,7:43:45,22.82,7.71,7.245,1837,,,
130,12/9/2023,7:38:45,23.15,7.68,6.79,1846,,,
131,12/9/2023,7:33:45,22.89,7.69,6.075,1852,,,
132,12/9/2023,7:28:45,22.94,7.67,6.384,1852,,,
133,12/9/2023,7:23:44,22.92,7.65,5.53,1846,,,
134,12/9/2023,7:18:45,22.93,7.62,5.362,1852,,,
135,12/9/2023,7:13:45,23.22,7.69,6.296,1846,,,
136,12/9/2023,7:08:45,23.32,7.67,5.807,1846,,,
137,12/9/2023,7:03:45,22.95,7.69,5.856,1846,,,
138,12/9/2023,6:53:45,22.82,7.61,6.309,1852,,,
139,12/9/2023,6:48:45,22.99,7.66,4.713,1846,,,
140,12/9/2023,6:43:45,23.04,7.62,5.805,1846,,,
141,12/9/2023,6:38:45,22.96,7.63,5.268,1852,,,
142,12/9/2023,6:33:45,22.99,7.63,6.099,1846,,,
143,12/9/2023,6:28:45,22.9,7.62,5.683,1846,,,
144,12/9/2023,6:23:44,23.05,7.64,5.194,1846,,,
145,12/9/2023,6:18:45,23,7.62,6.07,1846,,,
146,12/9/2023,6:13:45,22.92,7.62,5.778,1846,,,
147,12/9/2023,6:08:45,22.98,7.68,5.88,1846,,,
148,12/9/2023,6:03:45,23.01,7.64,5.245,1846,,,
149,12/9/2023,5:58:44,22.77,7.71,5.506,1846,,,
150,12/9/2023,5:53:45,22.95,7.66,6.158,1846,,,
151,12/9/2023,5:48:45,23.12,7.66,4.552,1846,,,
152,12/9/2023,5:43:45,23.07,7.68,5.968,1846,,,
153,12/9/2023,5:38:45,23.06,7.63,5.07,1846,,,
154,12/9/2023,5:33:44,23.07,7.65,5.661,1846,,,
155,12/9/2023,5:28:44,23.09,7.69,5.858,1846,,,
156,12/9/2023,5:23:45,23.08,7.68,5.807,1846,,,
157,12/9/2023,5:18:45,23.3,7.66,5.731,1846,,,
158,12/9/2023,5:13:45,23.07,7.65,6.041,1846,,,
159,12/9/2023,5:08:45,23.03,7.72,6.345,1846,,,
160,12/9/2023,5:03:45,23.51,7.64,7.624,1846,,,
161,12/9/2023,4:58:45,23.26,7.64,5.807,1846,,,
162,12/9/2023,4:53:45,23.08,7.66,5.819,1846,,,
163,12/9/2023,4:48:45,23.09,7.67,5.325,1846,,,
164,12/9/2023,4:43:45,23.06,7.69,5.829,1846,,,
165,12/9/2023,4:28:45,23.18,7.68,5.282,1846,,,
166,12/9/2023,4:23:45,23.09,7.63,7.236,1846,,,
167,12/9/2023,4:18:45,23.09,7.63,5.965,1855,,,
168,12/9/2023,4:13:45,23.04,7.66,5.989,1846,,,
169,12/9/2023,4:08:45,23.17,7.69,5.975,1855,,,
170,12/9/2023,4:03:45,23.17,7.7,5.775,1846,,,
171,12/9/2023,3:58:45,23.2,7.69,6.179,1846,,,
172,12/9/2023,3:53:45,23.24,7.67,5.851,1846,,,
173,12/9/2023,3:48:45,23.22,7.71,5.705,1846,,,
174,12/9/2023,3:43:45,23.14,7.68,5.741,1846,,,
175,12/9/2023,3:38:45,23.16,7.66,7.163,1846,,,
176,12/9/2023,3:33:45,22.85,7.69,5.756,1846,,,
177,12/9/2023,3:28:45,23.24,7.7,5.95,1846,,,
178,12/9/2023,3:18:45,23.28,7.65,5.894,1855,,,
179,12/9/2023,3:13:45,23.19,7.69,6.311,1855,,,
180,12/9/2023,3:08:45,23.25,7.66,5.132,1855,,,
181,12/9/2023,3:03:45,23.17,7.69,6.792,1855,,,
182,12/9/2023,2:58:45,23.28,7.72,6.106,1855,,,
183,12/9/2023,2:53:45,22.62,7.69,6.742,1855,,,
184,12/9/2023,2:48:45,23.22,7.69,6.004,1855,,,
185,12/9/2023,2:43:44,23.21,7.75,5.712,1855,,,
186,12/9/2023,2:38:45,23.33,7.73,5.435,1855,,,
187,12/9/2023,2:33:45,23.16,7.72,6.033,1855,,,
188,12/9/2023,2:28:45,23.1,7.68,6.347,1855,,,
189,12/9/2023,2:23:45,23.43,7.71,5.848,1855,,,
190,12/9/2023,2:18:44,23.21,7.69,6.055,1855,,,
191,12/9/2023,2:13:45,23.28,7.76,5.731,1855,,,
192,12/9/2023,2:08:45,23.26,7.8,6.092,1855,,,
193,12/9/2023,2:03:45,23.27,7.69,5.505,1855,,,
194,12/9/2023,1:58:45,23.37,7.71,5.843,1855,,,
195,12/9/2023,1:53:45,23.26,7.71,6.194,1861,,,
196,12/9/2023,1:48:45,23.14,7.74,5.841,1855,,,
197,12/9/2023,1:38:45,23.28,7.76,5.106,1855,,,
198,12/9/2023,1:33:45,23.24,7.76,4.975,1855,,,
199,12/9/2023,1:28:45,23.31,7.71,3.632,1855,,,
200,12/9/2023,1:23:44,23.29,7.71,5.909,1855,,,
201,12/9/2023,1:18:45,23.2,7.71,6.099,1855,,,
202,12/9/2023,1:13:44,23.31,7.75,6.33,1855,,,
203,12/9/2023,1:08:45,23.05,7.76,5.909,1855,,,
204,12/9/2023,1:03:45,22.98,7.72,5.683,1855,,,
205,12/9/2023,0:58:45,23.31,7.75,5.683,1855,,,
206,12/9/2023,0:53:45,23.33,7.72,6.26,1855,,,
207,12/9/2023,0:48:45,23.32,7.81,5.5,1855,,,
208,12/9/2023,0:43:45,23.27,7.76,5.442,1855,,,
209,12/9/2023,0:38:45,23.33,7.76,5.716,1855,,,
210,12/9/2023,0:33:44,23.22,7.79,6.42,1855,,,
211,12/9/2023,0:28:45,23.26,7.83,7.995,1855,,,
212,12/9/2023,0:23:45,23.21,7.82,6.347,1855,,,
213,12/9/2023,0:18:45,23.31,7.85,6.537,1861,,,
214,12/9/2023,0:08:45,23.1,7.78,6.522,1855,,,
215,12/9/2023,0:03:45,23.42,7.85,6.566,1861,,,
216,11/9/2023,23:58:44,23.66,7.89,7.244,1855,,,
217,11/9/2023,23:53:45,23.3,7.83,5.946,1861,,,
218,11/9/2023,23:48:45,23.37,7.78,6.902,1855,,,
219,11/9/2023,23:43:45,23.39,7.78,6.814,1855,,,
220,11/9/2023,23:38:45,23.51,7.83,8.301,1855,,,
221,11/9/2023,23:33:45,23.35,7.79,5.763,1861,,,
222,11/9/2023,23:28:44,23.37,7.84,6.388,1855,,,
223,11/9/2023,23:23:45,23.46,7.78,6.135,1855,,,
224,11/9/2023,23:18:45,23.31,7.78,6.646,1855,,,
225,11/9/2023,23:13:45,23.4,7.82,6.536,1855,,,
226,11/9/2023,23:08:45,23.21,7.85,6.61,1855,,,
227,11/9/2023,23:03:44,23.34,7.88,7.755,1861,,,
228,11/9/2023,22:58:44,23.38,7.88,6.06,1855,,,
229,11/9/2023,22:53:44,23.46,7.86,6.901,1855,,,
230,11/9/2023,22:48:45,23.54,7.95,6.704,1855,,,
231,11/9/2023,22:43:45,23.46,7.91,4.07,1855,,,
232,11/9/2023,22:38:45,23.48,7.89,7.74,1855,,,
233,11/9/2023,22:33:44,23.42,7.9,7.476,1855,,,
234,11/9/2023,22:28:44,23.46,7.92,6.588,1855,,,
235,11/9/2023,22:23:45,23.53,7.9,7.396,1855,,,
236,11/9/2023,22:18:45,23.84,7.83,5.58,1855,,,
237,11/9/2023,22:13:44,23.22,7.9,7.237,1855,,,
238,11/9/2023,22:08:44,23.43,7.9,7.058,1855,,,
239,11/9/2023,22:03:44,23.44,7.9,6.806,1855,,,
240,11/9/2023,21:58:45,23.49,7.87,6.841,1861,,,
241,11/9/2023,21:53:45,23.47,7.96,7.593,1855,,,
242,11/9/2023,21:48:45,23.44,8,7.967,1855,,,
243,11/9/2023,21:43:44,23.64,7.93,6.901,1855,,,
244,11/9/2023,21:38:45,23.46,8.03,8.528,1855,,,
245,11/9/2023,21:33:45,23.34,8.01,8.053,1861,,,
246,11/9/2023,21:28:45,23.48,7.96,8.082,1855,,,
247,11/9/2023,21:23:45,23.45,7.98,8.088,1855,,,
248,11/9/2023,21:18:45,23.72,7.99,8.01,1855,,,
249,11/9/2023,21:13:44,23.57,7.96,7.083,1855,,,
250,11/9/2023,21:08:45,23.59,7.98,7.98,1855,,,
251,11/9/2023,21:03:44,24.12,7.95,8.169,1855,,,
252,11/9/2023,20:58:44,23.48,7.97,8.047,1855,,,
253,11/9/2023,20:53:45,23.52,7.98,7.39,1861,,,
254,11/9/2023,20:48:44,23.54,8.06,8.2,1855,,,
255,11/9/2023,20:43:44,23.65,8.06,8.295,1855,,,
256,11/9/2023,20:38:45,23.74,8.04,8.127,1855,,,
257,11/9/2023,20:33:44,23.78,8.09,6.477,1855,,,
258,11/9/2023,20:28:45,23.53,8.04,8.571,1861,,,
259,11/9/2023,20:23:44,23.67,8.11,8.185,1861,,,
260,11/9/2023,20:08:45,23.95,8.08,8.856,1861,,,
261,11/9/2023,20:03:45,23.7,8.11,9.075,1855,,,
262,11/9/2023,19:58:44,23.65,8.11,9.016,1861,,,
263,11/9/2023,19:53:45,23.63,8.12,9.986,1855,,,
264,11/9/2023,19:48:44,23.67,8.12,7.775,1861,,,
265,11/9/2023,19:43:44,23.85,8.12,8.017,1855,,,
266,11/9/2023,19:38:45,23.72,8.18,9.484,1855,,,
267,11/9/2023,19:33:45,23.69,8.09,8.995,1855,,,
268,11/9/2023,19:28:44,23.54,8.11,9.579,1855,,,
269,11/9/2023,19:23:45,23.85,8.11,9.038,1855,,,
270,11/9/2023,19:18:45,23.68,8.17,9.834,1855,,,
271,11/9/2023,19:13:44,23.73,8.22,9.163,1855,,,
272,11/9/2023,19:08:44,24.18,8.23,8.884,1855,,,
273,11/9/2023,19:03:44,23.86,8.2,9.375,1855,,,
274,11/9/2023,18:58:45,23.65,8.23,9.936,1855,,,
275,11/9/2023,18:53:45,23.52,8.22,9.367,1855,,,
276,11/9/2023,18:48:44,23.73,8.25,9.768,1855,,,
277,11/9/2023,18:43:45,23.72,8.25,10.133,1855,,,
278,11/9/2023,18:38:54,23.83,8.25,8.768,1855,,,
279,11/9/2023,18:33:45,23.76,8.21,10.038,1861,,,
280,11/9/2023,18:23:45,23.88,8.33,10.009,1855,,,
281,11/9/2023,18:18:44,23.89,8.35,11.358,1861,,,
282,11/9/2023,18:13:44,23.74,8.26,10.856,1855,,,
283,11/9/2023,18:08:44,23.91,8.27,10.038,1855,,,
284,11/9/2023,18:03:44,23.99,8.37,10.417,1855,,,
285,11/9/2023,17:58:44,23.71,8.35,10.899,1855,,,
286,11/9/2023,17:53:44,23.71,8.38,10.834,1855,,,
287,11/9/2023,17:43:45,23.89,8.41,11.716,1855,,,
288,11/9/2023,17:38:45,23.82,8.3,11.891,1855,,,
289,11/9/2023,17:33:44,23.8,8.4,7.346,1855,,,
290,11/9/2023,17:28:44,23.89,8.5,12.146,1855,,,
291,11/9/2023,17:23:44,23.9,8.51,12.905,1855,,,
292,11/9/2023,17:18:45,23.86,8.53,12.657,1855,,,
293,11/9/2023,17:13:44,23.92,8.46,12.424,1855,,,
294,11/9/2023,17:08:45,23.87,8.53,13.183,1855,,,
295,11/9/2023,17:03:44,23.92,8.5,12.168,1861,,,
296,11/9/2023,16:58:44,24.04,8.47,12.775,1855,,,
297,11/9/2023,16:53:45,23.92,8.53,13.569,1855,,,
298,11/9/2023,16:48:45,23.92,8.53,13.009,1855,,,
299,11/9/2023,16:43:45,23.82,8.56,12.92,1855,,,
300,11/9/2023,16:38:44,23.89,8.47,12.11,1855,,,
301,11/9/2023,16:28:44,23.93,8.57,12.812,1855,,,
302,11/9/2023,16:23:44,24.13,8.5,13.503,1855,,,
303,11/9/2023,16:18:44,23.82,8.47,13.38,1855,,,
304,11/9/2023,16:13:45,23.9,8.52,13.496,1855,,,
305,11/9/2023,16:08:44,23.79,8.55,13.285,1855,,,
306,11/9/2023,16:03:44,23.99,8.56,15.021,1855,,,
307,11/9/2023,15:58:44,23.95,8.6,13.17,1855,,,
308,11/9/2023,15:48:45,23.99,8.54,13.226,1855,,,
309,11/9/2023,15:38:45,23.93,8.53,14.181,1855,,,
310,11/9/2023,15:33:45,24.05,8.58,13.882,1855,,,
311,11/9/2023,15:23:45,24.04,8.58,14.637,1855,,,
312,11/9/2023,15:18:45,23.94,8.52,13.781,1855,,,
313,11/9/2023,15:13:45,23.97,8.6,13.642,1855,,,
314,11/9/2023,15:08:45,23.89,8.54,13.722,1855,,,
315,11/9/2023,15:03:45,24.01,8.5,14.294,1855,,,
316,11/9/2023,14:58:44,24.04,8.49,13.985,1855,,,
317,11/9/2023,14:53:44,23.72,8.48,14.942,1855,,,
318,11/9/2023,14:48:45,23.76,8.49,13.526,1855,,,
319,11/9/2023,14:43:44,23.97,8.51,13.832,1855,,,
320,11/9/2023,14:38:45,24.18,8.42,13.029,1855,,,
321,11/9/2023,14:33:44,23.96,8.45,12.679,1855,,,
322,11/9/2023,14:28:45,23.77,8.44,14.321,1855,,,
323,11/9/2023,14:23:45,23.96,8.46,13.941,1855,,,
324,11/9/2023,14:18:45,23.96,8.44,14.846,1855,,,
325,11/9/2023,14:13:44,23.99,8.36,15.59,1855,,,
326,11/9/2023,14:08:44,23.9,8.43,14.287,1855,,,
327,11/9/2023,14:03:45,23.92,8.42,13.789,1855,,,
328,11/9/2023,13:58:44,23.9,8.3,14.185,1855,,,
329,11/9/2023,13:53:45,23.93,8.36,13.248,1855,,,
330,11/9/2023,13:43:44,23.84,8.32,12.803,1855,,,
331,11/9/2023,13:38:44,23.9,8.27,13.685,1855,,,
332,11/9/2023,13:33:44,23.85,8.21,13.236,1855,,,
333,11/9/2023,13:23:44,23.89,8.28,12.533,1855,,,
334,11/9/2023,13:18:44,23.75,8.32,13.256,1846,,,
335,11/9/2023,13:13:44,23.86,8.28,12.628,1846,,,
336,11/9/2023,13:08:44,23.73,8.25,13.664,1846,,,
337,11/9/2023,13:03:45,24.1,8.19,13.831,1846,,,
338,11/9/2023,12:58:44,23.74,8.25,12.205,1846,,,
339,11/9/2023,12:53:45,23.81,8.26,12.066,1846,,,
340,11/9/2023,12:48:44,23.81,8.24,12.708,1846,,,
341,11/9/2023,12:38:44,23.74,8.16,11.761,1846,,,
342,11/9/2023,12:28:45,23.86,8.11,12.198,1846,,,
343,11/9/2023,12:23:44,23.72,8.03,11.943,1855,,,
344,11/9/2023,12:18:44,23.86,8.06,11.819,1855,,,
345,11/9/2023,12:13:44,23.89,8.07,12.752,1846,,,
346,11/9/2023,12:08:59,23.56,8.07,11.878,1846,,,
347,11/9/2023,12:03:44,23.79,8.08,11.899,1846,,,
348,11/9/2023,11:53:44,23.84,8.04,11.337,1846,,,
349,11/9/2023,11:38:44,23.67,7.96,11.308,1846,,,
350,11/9/2023,11:33:44,23.54,7.99,10.586,1846,,,
351,11/9/2023,11:28:44,23.55,7.97,11.009,1846,,,
352,11/9/2023,11:23:44,23.68,7.9,11.651,1846,,,
353,11/9/2023,11:18:44,23.67,7.9,11.856,1846,,,
354,11/9/2023,11:13:44,23.75,7.94,11.147,1855,,,
355,11/9/2023,11:08:44,23.8,7.88,10.856,1855,,,
356,11/9/2023,11:03:44,23.82,7.87,10.753,1855,,,
357,11/9/2023,10:58:44,23.95,7.86,9.607,1855,,,
358,11/9/2023,10:48:44,23.77,7.9,9.717,1846,,,
359,11/9/2023,10:43:44,23.75,7.81,9.878,1846,,,
360,11/9/2023,10:38:44,23.72,7.9,9.396,1846,,,
361,11/9/2023,10:33:44,23.85,7.84,9.98,1837,,,
362,11/9/2023,10:28:44,23.84,7.83,10.045,1846,,,
363,11/9/2023,10:23:44,23.75,7.83,9.936,1846,,,
364,11/9/2023,10:18:44,23.71,7.83,10.053,1837,,,
365,11/9/2023,10:13:44,23.64,7.82,9.659,1837,,,
366,11/9/2023,10:08:44,23.87,7.84,10.104,1837,,,
367,11/9/2023,10:03:44,23.8,7.83,9.899,1837,,,
368,11/9/2023,9:58:44,23.74,7.8,10.06,1837,,,
369,11/9/2023,9:53:44,23.95,7.76,9.571,1837,,,
370,11/9/2023,9:48:44,23.77,7.8,10.038,1837,,,
371,11/9/2023,9:43:44,23.54,7.82,9.448,1837,,,
372,11/9/2023,9:38:44,23.73,7.81,8.907,1837,,,
373,11/9/2023,9:33:44,23.67,7.8,10.177,1837,,,
374,11/9/2023,9:23:44,23.81,7.82,9.469,1837,,,
375,11/9/2023,9:18:44,23.85,7.77,9.141,1837,,,
376,11/9/2023,9:13:44,23.73,7.83,9.264,1837,,,
377,11/9/2023,9:08:44,23.65,7.81,8.572,1828,,,
378,11/9/2023,9:03:44,23.84,7.78,9.06,1828,,,
379,11/9/2023,8:58:44,23.84,7.77,9.023,1828,,,
380,11/9/2023,8:53:44,23.83,7.78,8.33,1828,,,
381,11/9/2023,8:48:44,23.8,7.79,9.557,1828,,,
382,11/9/2023,8:43:44,23.89,7.75,9.352,1837,,,
383,11/9/2023,8:38:44,24.19,7.77,9.395,1837,,,
384,11/9/2023,8:28:44,23.77,7.77,10.374,1837,,,
385,11/9/2023,8:23:44,23.97,7.77,9.461,1837,,,
386,11/9/2023,8:18:44,23.87,7.72,9.001,1837,,,
387,11/9/2023,8:13:44,23.9,7.81,8.819,1837,,,
388,11/9/2023,8:08:44,23.86,7.71,9.17,1837,,,
389,11/9/2023,8:03:44,24.03,7.77,8.973,1846,,,
390,11/9/2023,7:58:44,23.81,7.75,8.834,1846,,,
391,11/9/2023,7:53:44,23.86,7.78,9.513,1837,,,
392,11/9/2023,7:48:44,23.93,7.75,9.651,1846,,,
393,11/9/2023,7:43:44,23.92,7.75,10.14,1837,,,
394,11/9/2023,7:38:44,23.87,7.8,9.731,1837,,,
395,11/9/2023,7:33:44,23.96,7.77,8.71,1837,,,
396,11/9/2023,7:28:44,24.04,7.79,8.549,1837,,,
397,11/9/2023,7:23:44,23.91,7.9,12.219,1837,,,
398,11/9/2023,7:18:44,24.02,7.88,11.505,1828,,,
399,11/9/2023,7:13:44,23.94,7.9,11.256,1828,,,
400,11/9/2023,7:08:44,24.05,7.9,11.519,1828,,,
401,11/9/2023,7:03:44,24.04,7.87,11.57,1828,,,
402,11/9/2023,6:58:44,24,7.89,10.862,1828,,,
403,11/9/2023,6:53:44,24.01,7.89,10.95,1828,,,
404,11/9/2023,6:48:44,23.94,7.9,11.256,1828,,,
405,11/9/2023,6:43:44,23.93,7.87,11.628,1828,,,
406,11/9/2023,6:38:44,24.04,7.86,11.125,1828,,,
407,11/9/2023,6:33:44,24.01,7.87,11.286,1828,,,
408,11/9/2023,6:28:44,24.05,7.84,11.22,1828,,,
409,11/9/2023,6:23:44,23.96,7.89,11.03,1828,,,
410,11/9/2023,6:18:44,24.07,7.86,10.819,1837,,,
411,11/9/2023,6:13:44,23.95,7.85,11.862,1837,,,
412,11/9/2023,6:08:44,24.06,7.86,11.016,1837,,,
413,11/9/2023,6:03:44,24.06,7.87,11.146,1828,,,
414,11/9/2023,5:58:44,24.14,7.88,10.417,1828,,,
415,11/9/2023,5:53:44,24.16,7.89,11.773,1837,,,
416,11/9/2023,5:48:44,23.91,7.86,11.343,1820,,,
417,11/9/2023,5:43:44,24.53,7.88,11.546,1828,,,
418,11/9/2023,5:33:44,24.1,7.91,11.03,1820,,,
419,11/9/2023,5:28:44,24.14,7.9,11.226,1828,,,
420,11/9/2023,5:23:44,24.25,7.86,10.737,1837,,,
421,11/9/2023,5:18:44,24.2,7.89,10.891,1828,,,
422,11/9/2023,5:13:44,24.15,7.86,11.956,1828,,,
423,11/9/2023,5:08:44,24.15,7.86,10.964,1828,,,
